label,value
Flower Valley (MBMT),"19.2077661055244,72.9724455788361"
Fountain Hotel / Varsova Bridge (MBMT),"19.2847714312259,72.9038884369657"
G.C.C.Hotel & Club (MBMT),"19.28275994,72.87901463"
G.S.B.Bank (MBMT),"19.28703323,72.87078552"
Gaimukh (MBMT),"19.28510023,72.93636285"
Gaimukh Jakat Naka (MBMT),"19.28528807,72.93306339"
Ganesh Mandir (MBMT),"19.2656985,72.87062985"
Gaondevi Mandir (MBMT),"19.27997502,72.78828352"
Gaondevi Mandir Thane (East) (MBMT),"19.1845753869916,72.9722597723279"
Gaurav Regency (MBMT),"19.28785598,72.87840827"
Gaurav Residency (MBMT),"19.28951328,72.8763516"
Gaurav Valley (MBMT),"19.28293858,72.88205454"
General A.K.Vaidya Marg Junction (MBMT),"19.1758161674205,72.8595070439426"
Ghartan Pada (MBMT),"19.2525371955168,72.8683628345406"
Ghodbunder Depot (MBMT),"19.28426344,72.89000096"
Ghodbunder Gaon (MBMT),"19.28672434,72.895267373373"
Ghodbunder Village (MBMT),"19.2867803230422,72.8933365444853"
Ghodbunder Village Junction (MBMT),"19.28209278,72.8918530962705"
Ghoddev Naka (MBMT),"19.30404843,72.85861029"
Gokulanand Hotel (MBMT),"19.244756626752,72.86488176"
Golden Chemicals (MBMT),"19.26213462,72.8737557"
Golden Chemicals / Thakur Mall (MBMT),"19.26322391,72.87425637"
Golden Nest Circle (MBMT),"19.29514619,72.85896644"
Golden Nest Phase 2 (MBMT),"19.2975454345876,72.8603495842588"
Gorai Church (MBMT),"19.24060618,72.78280914"
Gorai Cross (MBMT),"19.24107213,72.78418779"
Gorai Police Station (MBMT),"19.2378965,72.782498"
Goregaon Check Naka (MBMT),"19.1651376115927,72.8586955730164"
Goregaon Police Station (MBMT),"19.15676126,72.846012"
Gundavali (MBMT),"19.1212686,72.856183"
Hanuman Chowk (MBMT),"19.2997580785985,72.8621761758501"
Hanuman Mandir (MBMT),"19.2111645045189,72.9760140265082"
Hardas Nagar (MBMT),"19.2122001560436,72.976437806434"
Hari Bhakti Dovel (MBMT),"19.28173065,72.88991718"
Hatkesh (MBMT),"19.28018234,72.87650586"
Hatkesh Udyog Nagar (MBMT),"19.28233376,72.87925343"
Haudpada (MBMT),"19.2317831,72.78165311"
Hitko Company (MBMT),"19.28080056,72.87566452"
Hitko Company / Hatkesh (MBMT),"19.28028526,72.87718718"
Holy Cross Convent School (MBMT),"19.28430432,72.86676764"
Hotel Sonovale (MBMT),"19.27374674,72.79494882"
Ice Factory (MBMT),"19.28745676,72.80036441"
Imperial Square (MBMT),"19.28425565,72.94730076"
Indira Gandhi Hospital (MBMT),"19.27434288,72.86128689"
Indralok Phase 1 (MBMT),"19.300879112099,72.8631514135166"
Indralok Phase 2 (MBMT),"19.3026796272908,72.8647377346984"
Ismail Yusuf College (MBMT),"19.13443251,72.85526826"
J.P.Garden City (MBMT),"19.28214001,72.88305668"
J.P.Infrastructures (MBMT),"19.27907736,72.88718132"
J.P.North Apna Ghar Phase 1 (MBMT),"19.28231151,72.8884295"
Jagannath Mahadev Temple (MBMT),"19.28514384,72.94121301"
Jai Mahakali Mandir / Ovari Pada (MBMT),"19.2414135047532,72.8642431551312"
Jain Mandir (MBMT),"19.30545236,72.84978837"
Jain Temple (MBMT),"19.2801055,72.86225457"
Jama Masjid (MBMT),"19.2845220786933,72.8574352476721"
Jangid Circle (MBMT),"19.2801877,72.87080705"
Jangid Complex Chowk (MBMT),"19.27989908,72.87104845"
Janki Residency (MBMT),"19.29790581,72.85235214"
Janta Dairy (MBMT),"19.26735965,72.87641883"
Jari Man Mandir (MBMT),"19.20244207,72.78955656"
Jawahar Nagar (MBMT),"19.16223139,72.84612"
Jogeshwari (W) Bus Station (MBMT),"19.1340415,72.8481840867459"
Jogeshwari Police Station (MBMT),"19.1393046658579,72.8552153474344"
Jogeshwari Tabela (MBMT),"19.1378864235184,72.8459788220902"
Jogeshwari Telephone Exchange (MBMT),"19.14144751,72.84332717"
Jui Pada (MBMT),"19.24125947,72.79405526"
Jupiter Hospital (MBMT),"19.2090076630101,72.9732627402377"
K.D.Empire (MBMT),"19.30153426,72.87480354"
Kajupada (MBMT),"19.2787566735999,72.9225976488361"
Kanungo Street (MBMT),"19.29142841,72.8597992697623"
Kapurbawdi (MBMT),"19.221104991519,72.9776851678246"
Kapurbawdi Circle (MBMT),"19.2187162225589,72.9782838486741"
Karai Pada (MBMT),"19.28584702,72.78602587"
Kasarvadavli Naka (MBMT),"19.26939605,72.96542048"
Kashi Gaon (MBMT),"19.27441254,72.88569981"
Kashigaon (MBMT),"19.2741106,72.88601417"
Kashimira (MBMT),"19.272816,72.882355"
Kashimira Police Station (MBMT),"19.27270359,72.88383186"
Kashinagar (MBMT),"19.304107316349,72.8629943668232"
Kasturi Estate (MBMT),"19.30122105,72.8570652"
Keshav Shrushti (MBMT),"19.27563044,72.79617726"
Ketaki Pada (MBMT),"19.2559374736791,72.8692185591074"
Khadan (MBMT),"19.28610688,72.79981127"
Khajur Wadi (MBMT),"19.24120888,72.78668225"
Khari Gaon (MBMT),"19.30561025,72.85754102"
Khari Gaon (Bhayander) (MBMT),"19.3042997032334,72.8591909944401"
Koli Wada (MBMT),"19.20770715,72.78535187"
Kolyachi Bawadi (MBMT),"19.25746089,72.79263139"
Kulav (MBMT),"19.23425146,72.78216599"
Kurar Village (MBMT),"19.18463373,72.85866264"
Late Balasaheb Thackeray Trauma Center / S.R.P. Camp (MBMT),"19.1425154544062,72.8554402109262"
Laxmi Nagar (MBMT),"19.2063415241402,72.9704476918124"
Laxmi Park (MBMT),"19.29577006,72.87512005"
Lockim Company / R Mall (MBMT),"19.2299039468615,72.9766255546558"
Lodha Complex (MBMT),"19.2822409682539,72.9542446791074"
Louiswadi (MBMT),"19.1961127640256,72.962324091774"
Lt. Praful Patil Chowk / Indralok Naka (MBMT),"19.3034202333713,72.8655440901957"
M.T.N.L. (MBMT),"19.28327017,72.86617186"
Madhushree Mira Road (MBMT),"19.27229107,72.86843061"
Madina Manzil (MBMT),"19.17364898,72.84674604"
Magathane Depot (MBMT),"19.22070904,72.86588638"
Magathane Telephone Exchange (MBMT),"19.21625034,72.86736245"
Mahadev Mandir Chowk Road (MBMT),"19.30131511,72.78604446"
Mahananda Dairy (MBMT),"19.150477276435,72.8567950501525"
Maharashtra Judicial Academy (MBMT),"19.26547235,72.79485226"
Mahavishnu Mandir (MBMT),"19.26515838,72.87580132"
Mahindra Co.Gate (B.H.A.D.Colony) (MBMT),"19.20555924,72.86562235"
Majiwada Naka (MBMT),"19.2145706017511,72.9775298001525"
Manali Village (MBMT),"19.26957366,72.88632103"
Manav Kalyan Kendra / Dahisar Phatak (MBMT),"19.2457243445698,72.8608619876721"
Mangal Nagar (MBMT),"19.28446129,72.88057029"
Mani Krupa (MBMT),"19.29305667,72.86695068"
Manori Church (MBMT),"19.20520762,72.78729559"
Manori Talav (MBMT),"19.20907544,72.78343473"
Manori Tar (MBMT),"19.19923187,72.7916792"
Manpada (MBMT),"19.2350930741409,72.976024752209"
Marathon Chowk / Teen Hath Naka (MBMT),"19.1891733932882,72.9632514087508"
Maxus Mall (Bhayander) (MBMT),"19.29500805,72.8499341"
Maxus Mall Bhayander (MBMT),"19.29539286,72.84918844"
Maxwell Hotel (MBMT),"19.26753642,72.79531921"
Mira Bhayandar Municipal Head Office (M.B.M.C.) (MBMT),"19.30172941,72.84819341"
Mira Gaothan (MBMT),"19.26653577,72.87687867"
Mira Road Market (MBMT),"19.27824169,72.85820227"
Mira Road Railway Station (E) (MBMT),"19.28161396,72.85927779"
Mira Road Sector 8 (MBMT),"19.2781273,72.86390783"
Mira Road Station (E) (MBMT),"19.2813884412042,72.85809803"
Morva Bhat (MBMT),"19.29118251,72.81030099"
Morva Gaon (MBMT),"19.29212713,72.81461478"
Muchhala College (MBMT),"19.262803594535,72.9682645891074"
Mulla Baug (MBMT),"19.2392836614855,72.9755489190738"
Murdha Gaon (MBMT),"19.29959516,72.83057928"
Murdha Khadi (MBMT),"19.29934654,72.83694051"
N.H.School (MBMT),"19.28567144,72.86169827"
Nagar Bhavan Mandali Talav (MBMT),"19.29960521,72.84955137"
Nancy Colony Borivali East (MBMT),"19.2377380596983,72.8636698042906"
Narendra Park (MBMT),"19.2860489754399,72.8585282497623"
National Park Borivali (MBMT),"19.2300091448952,72.8636350298811"
Navghar Naka (MBMT),"19.3077774056873,72.8630385376721"
Neelkamal Naka (MBMT),"19.27334015,72.8852404"
Neelkanth Apartment (MBMT),"19.2718756,72.88931096"
Netaji Subhashchandra Bose Ground (MBMT),"19.29900093,72.84125469"
New Green Wood Complex (MBMT),"19.26995406,72.88941544"
Nitin Company Junction (MBMT),"19.1989589587851,72.9630442902713"
Novelty Silk Mill (MBMT),"19.2547575203929,72.8670609027001"
Om Sangam Plaza (MBMT),"19.29427319,72.86800004"
Om Shanti Chowk (MBMT),"19.302496206304,72.8670097938082"
Omkareshwar Mandir (MBMT),"19.2312162923986,72.8626095976721"
Oshiwara Bridge (MBMT),"19.14826775,72.84320831"
Ostwal Garden (MBMT),"19.29724295,72.87640358"
Ovala Gaon (MBMT),"19.27423116,72.9603859"
Pagoda (MBMT),"19.22871488,72.80427273"
Pakhadi (MBMT),"19.25219397,72.78866172"
Pali Beach Resort (MBMT),"19.29802332,72.78514195"
Pali Bunder (MBMT),"19.29155746,72.78505369"
Pali Gaon (MBMT),"19.2906863,72.7864826"
Pali Hospital (MBMT),"19.29281572,72.78514534"
Pali Shanti Nagar (MBMT),"19.29654232,72.78513667"
Panchamrut (MBMT),"19.2570949958521,72.9705659224804"
Pandurang Wadi (MBMT),"19.17363691,72.85057187"
Parvat Nagar (MBMT),"19.2434601471738,72.8599569713164"
Patan Bunder (MBMT),"19.2889908,72.78697678"
Pathanwadi (MBMT),"19.18100607,72.85870558"
Patkar College (MBMT),"19.16863658,72.8456081"
Patli Pada (MBMT),"19.2460531669955,72.9760086292566"
Patli Pada Naka (MBMT),"19.24719215,72.9754441801525"
Penkarpada (MBMT),"19.26368799,72.87173248"
Pleasant Park (MBMT),"19.27858546,72.87869907"
Poonam Sagar Complex (MBMT),"19.27367271,72.86266982"
Poonam Shrusti Latiff Park (MBMT),"19.28596687,72.86972084"
Poushmata Mandir (MBMT),"19.2810743288851,72.9550823355579"
Pravasi Industrial Estate (MBMT),"19.17265511,72.85456848"
Punjab Dairy (MBMT),"19.279036,72.889915"
Punjab Foundry / Sahyadri Nagar (MBMT),"19.27594856,72.8816821"
Pushpa Park (Malad-E) (MBMT),"19.18852351,72.85854645"
R.B.K.School (MBMT),"19.29080057,72.87066758"
Rai Custom House (MBMT),"19.2982079,72.82385766"
Rai Gaon (MBMT),"19.2968814,72.8206873"
Raj Bucket Factory (MBMT),"19.28809104,72.88972375"
Rajshree Cinema (MBMT),"19.2510384834845,72.8634960141018"
Ram Mandir Road (MBMT),"19.1518783,72.844501"
Ram Nagar (MBMT),"19.29826359,72.87161172"
Ram Ratan Int School (MBMT),"19.26396833,72.79463231"
Ramdev Park (MBMT),"19.2954688,72.86906898"
Rasaj Cinema (MBMT),"19.283942,72.86295087"
Rashmi Complex (MBMT),"19.28676766,72.87802487"
Registration Office (MBMT),"19.29714099,72.85194725"
Royal College (MBMT),"19.26968722,72.87108711"
Royal Park (MBMT),"19.27097933,72.87545784"
S.K. Stone (MBMT),"19.28523952,72.86955316"
S.K.Stone (MBMT),"19.28525371,72.86872297"
S.V.Hall (MBMT),"19.28529972,72.87321128"
Sadanand Nagar (MBMT),"19.29858923,72.82637316"
Sahara (MBMT),"19.1540151,72.84533668"
Sai Krupa Complex (MBMT),"19.27156975,72.885947"
Sai Mandir Murdha (MBMT),"19.29898761,72.82825649"
Sai Mauli Mandir (MBMT),"19.21961133,72.78350115"
Sainath Nagar (MBMT),"19.26688773,72.96666384"
Saint Francis Nagar (MBMT),"19.28728918,72.78688879"
Saint Xaviers High School (MBMT),"19.26949864,72.88827264"
Saknay Mandir (MBMT),"19.27732551,72.88928679"
Salasar (MBMT),"19.2951575,72.81794574"
Salasar Nagar (MBMT),"19.3092213451988,72.8592351646805"
Sambhaji Nagar (MBMT),"19.2001082809354,72.9639038511192"
Sambhajinagar Akurli (MBMT),"19.20297403,72.86294257"
Sanghvi Park (MBMT),"19.2903625408373,72.8587400176721"
Sanjay Nagar (Jogeshwari E) (MBMT),"19.13770461,72.85522085"
Sanskruti (Mari Gold Residency) (MBMT),"19.2909233,72.87446709"
Sardar Vallabhai Patel Vidyalaya (MBMT),"19.2909896,72.86696381"
Savarkar Chowk / Golden Nest (MBMT),"19.2958993492066,72.8588877875979"
Sawantwadi (MBMT),"19.25926432,72.79304094"
Sealmatic India Ltd (MBMT),"19.28659991,72.88810546"
Sector 8 (MBMT),"19.2803353,72.86485101"
Seven Square School (MBMT),"19.2964560272583,72.864580910269"
Shankarwadi (MBMT),"19.13080789,72.85539711"
Shanti Dham (MBMT),"19.27074863,72.87314987"
Shanti Vidya Nagari (MBMT),"19.2862436,72.88218498"
Shanti Vidyanagari Chowk (MBMT),"19.28388562,72.88084627"
Shantinagar Sector 4 (MBMT),"19.28167385,72.8604564"
Sheetal Garden (MBMT),"19.28349311,72.86450303"
Sheetal Sarovar (MBMT),"19.28204627,72.86799997"
Shefali (MBMT),"19.25512625,72.79143512"
Shivar Garden (MBMT),"19.28850438,72.86563253"
Shivneri (MBMT),"19.29631939,72.81921208"
Shree Krishna Nagar (MBMT),"19.2335410012451,72.8636031582709"
Shreenath Complex (MBMT),"19.29216385,72.86191559"
Shri Kalavati Mandir (MBMT),"19.303633194154,72.8642929742991"
Shrikrishna Garden Society (MBMT),"19.26974381,72.87616836"
Shrinath Complex (MBMT),"19.2929202018137,72.861466455622"
Shriram Hospital (MBMT),"19.27580514,72.95888007"
Siddharth Nagar (MBMT),"19.1824167634293,72.970553046627"
Siddheshwar Talav (MBMT),"19.2026539354364,72.9671302680332"
Siddheswar Talav (MBMT),"19.2028350551884,72.9667832026251"
Siddhivinayak Tower (MBMT),"19.20971342562,72.9745789465082"
Silver Palace (MBMT),"19.28425875,72.87130057"
Silver Park (MBMT),"19.28204834,72.8739617"
Solitaire (MBMT),"19.28646936,72.87150271"
Srushti Police Station (MBMT),"19.27112386,72.86780567"
St.Rock College (MBMT),"19.29445365,72.78523654"
Star Market (MBMT),"19.28817147,72.86825359"
Stella Marris Hospital (MBMT),"19.27717992,72.7928862"
Sumlayi Talav (MBMT),"19.22144685,72.78330128"
Sunder Nagar (MBMT),"19.283241,72.87227958"
Surbhi Complex (MBMT),"19.28455031,72.87427183"
Surya Shopping Centre (MBMT),"19.27425835,72.8695035"
Suryanarayan Mandir (MBMT),"19.29391198,72.81661537"
Swami Vivekanand Chowk (MBMT),"19.1817407709122,72.9677689130164"
Swatantra Veer Savarkar Chowk Bhayander (MBMT),"19.29420964,72.85989869"
Talathi Office (MBMT),"19.27908637,72.789976"
Talavali (MBMT),"19.27829392,72.79711605"
Tarodi (MBMT),"19.28963603,72.80079603"
Tattvadnyan Vidyapeeth (MBMT),"19.2235471179611,72.977363177791"
Telephone Exchange (MBMT),"19.28063329,72.79752373"
Thane R.T.O Office (MBMT),"19.1921720713881,72.9629064497745"
Tieten Medicity Thane (MBMT),"19.27211113,72.963067"
Tiwari College (MBMT),"19.29905342,72.87801146"
Transport Corporation (MBMT),"19.26936929,72.87925604"
Tunga Hospital (MBMT),"19.28772717,72.8642866"
Unique Heights (MBMT),"19.28588201,72.87239857"
Uttan Church (MBMT),"19.28050229,72.78600299"
Uttan Market (MBMT),"19.28274225,72.7850461"
Uttan Naka (MBMT),"19.28066368,72.78487176"
U-Turn Resort (MBMT),"19.30230707,72.78612006"
Vairala Talav (MBMT),"19.25026443,72.7878195"
Vale (MBMT),"19.24648121,72.78553963"
Valkar Nagar (MBMT),"19.2881799173171,72.8951142263203"
Vanrai / Mhada Colony (MBMT),"19.1544872994402,72.8572613189886"
Vardan LOK Ashram (MBMT),"19.27959939,72.9239831679098"
Varsova Jain Mandir (MBMT),"19.2852828288596,72.8992658271182"
Vedant International School (MBMT),"19.28289984,72.87649078"
Venus Apartment (MBMT),"19.3087583387061,72.8608558834918"
Vihang Hills (MBMT),"19.27757489,72.95735121"
Vijay Garden (MBMT),"19.2605399214805,72.9691904765576"
Vinaynagar (MBMT),"19.27913136,72.88193737"
Virwani Estate / Sarvodaya Nagar (MBMT),"19.170830254588,72.8592345720902"
Vishal Hall / Prakash Studio (MBMT),"19.1182401028131,72.852074258836"
Vruddha Aashram (MBMT),"19.26096532,72.79352725"
Waghbil Naka (MBMT),"19.253141657047,72.9721529839079"
Walchand Complex (MBMT),"19.29782311,72.8493011"
Water Tank Morva (MBMT),"19.2911955,72.81345606"
Western Hotel (Laxmi Baug) (MBMT),"19.27595704,72.88865716"
Western Park (MBMT),"19.2736364346657,72.8904521886825"
Woodland Hotel (MBMT),"19.30047617,72.87369798"
A.H.School (TMT),"19.28260317,72.86252975"
A.K Joshi Vidyalaya Thane (TMT),"19.18749846,72.97169566"
A.P.M.C Market (Vashi) (TMT),"19.0736936150468,73.0083949311045"
Aachola Gaon (TMT),"19.39793036,72.83542523"
Aai Mata Mandir Chowk (TMT),"19.20687889,72.95653851"
Aalimghar (TMT),"19.20385384,73.03638201"
Aban Park (TMT),"19.2296506934915,72.980144617791"
Achole Road (TMT),"19.42047403,72.81983166"
Achole Talav (TMT),"19.41107121,72.82769592"
Adarsh Nagar (TMT),"19.20584799,72.97431886"
Adavali Bhutawali (TMT),"19.1110847374351,73.0313795499059"
Agarwal Municipal Hospital (TMT),"19.17856833,72.94581569"
Agarwal Naka (TMT),"19.40596358,72.8597939"
Agriculture (TMT),"19.20019947,72.95385896"
Air Force Station Kolshet (TMT),"19.2401756654117,72.9917424902625"
Air Force Station Yeoor (TMT),"19.22450943,72.94958848"
Airoli Naka (TMT),"19.166210744743,72.9994242889886"
Airoli Station (TMT),"19.1591463338991,72.9999449965754"
Alkapuri Nagar (TMT),"19.41167582,72.82703876"
Almos Colony (Kousa) (TMT),"19.16791307,73.0260855"
Ambaji Dham (TMT),"19.17800626,72.94989199"
Ambika Nagar (TMT),"19.19774007,72.9555378"
Ambika Yog Kutir (TMT),"19.20747844,72.97708095"
Amrut Nagar (Mumbra) (TMT),"19.17466979,73.02318335"
Anand Nagar (TMT),"19.2645431,72.96758383"
Anand Nagar Depot (TMT),"19.26479813,72.96972586"
Anand Vihar (TMT),"19.20207687,73.00531355"
Anjur (TMT),"19.21587415,73.03919384"
Anjur Gaon (TMT),"19.23018184,73.02777146"
Anjur Phata (TMT),"19.27354984,73.04230772"
Annabhau Sathe Chowk (Thane) / Sathe Nagar (TMT),"19.20130968,72.94908148"
Anunagar (TMT),"19.25791314,72.97473716"
Aradhana Cinema (TMT),"19.19283049,72.96840669"
Ashok Nagar / Willows Society (TMT),"19.2223551720483,72.9940951525409"
Atria Society (TMT),"19.24551893,72.98229575"
Automatic Company (TMT),"19.18740727,72.95519472"
Azad Nagar Naka (TMT),"19.24139072,72.97559381"
Babla Compound (TMT),"19.28490529,73.07228746"
Bagade Engineers (TMT),"19.07516883,73.0272739"
Bajrang Hotel (TMT),"19.1123542102908,73.0329929856156"
Bal Niketan / Forest Avenue (TMT),"19.24990991,72.97938824"
Balkum Naka (TMT),"19.22144501,72.989586"
Balkum Pada No.1 (TMT),"19.2219039949828,72.9913632194998"
Balkum Pada Number 2 (TMT),"19.22004643,72.98988969"
Balkum Pada Number 3 (TMT),"19.21699755,72.99077958"
Balsara Company (TMT),"19.19137422,72.9515925"
Bapana (TMT),"19.36873516,72.89524189"
Bapana Bridge (TMT),"19.36603295,72.89421201"
Bapana Bridge Corner (TMT),"19.36307229,72.89299965"
Bappa Sitaram Market (TMT),"19.41956336,72.82057732"
Bayer Main Gate (TMT),"19.2312803921832,72.9862426190491"
Bethany Hospital (TMT),"19.22050754,72.96184753"
Bhadwad Pipeline (TMT),"19.28327178,73.07292492"
Bhainder Pada (TMT),"19.28358278,72.95206457"
Bharat Bijlee Airoli (TMT),"19.1562018026233,73.0001497597959"
Bharat Gears (Mumbra) (TMT),"19.15785219,73.03157867"
Bhaskar Colony / Saraswati School (TMT),"19.18620694,72.96745729"
Bhendi Pada Yeoor Road (TMT),"19.23786452,72.94412169"
Bhiwandi S.T.Stand (TMT),"19.3023683,73.06597084"
Bhoidapada Naka (TMT),"19.40565495,72.85545677"
Bhoomi Acres (TMT),"19.26073211,72.97911549"
Bhoomi Acres / Garden Court Circle (TMT),"19.25879026,72.97592014"
Bhukendra (TMT),"19.21859571,72.95271903"
Bhumi World (TMT),"19.26331606,73.07359124"
Blue Bell (Hiranandani Estate) (TMT),"19.25630754,72.98671393"
Boringer (TMT),"19.2374963676048,72.9899668613769"
Borivali (E) Station (TMT),"19.22868665,72.85853405"
Brahmand / Azad Nagar Junction (TMT),"19.23945749,72.98054802"
Brahmand Phase 3 (TMT),"19.24127796,72.98143666"
Brahmand Phase 5 (TMT),"19.24502693,72.98356334"
Brahmand Phase 6 (TMT),"19.24663196,72.98469507"
Building No.3 Vartak Nagar (TMT),"19.21212192,72.9601568"
Cadbury Junction (TMT),"19.20402527,72.96803767"
Carter Road Market (Borivali E) (TMT),"19.22941161,72.86026782"
Casa Greenville (TMT),"19.22933554,73.04983951"
Castle Mill Chowk (TMT),"19.2046807123272,72.9782606451065"
Cement Plant (Nanak Dhaba) (TMT),"19.24531905,73.04665097"
Central Maidan (TMT),"19.197903054765,72.9800266009262"
Chamunda (TMT),"19.2316438,73.00740659"
Chandan Naka (TMT),"19.41504794,72.82452822"
Chandicha Pada (TMT),"19.16102682,73.04616518"
Chandrash Lodha School (TMT),"19.15919969,73.0761102119713"
Chavandai Chowk (TMT),"19.21087902,73.01330741"
Chavandai Residency (TMT),"19.20925801,73.00939661"
Chena Bridge (TMT),"19.27576281,72.91646722"
Chendani Koliwada (TMT),"19.18852686,72.97934095"
Chhatrapati Shivaji Maharaj Chowk Bhiwandi (TMT),"19.30521291,73.05867791"
Chhatrapati Shivaji Maharaj Chowk Nilaje (TMT),"19.1577533792801,73.0761221076721"
Chinchoti Naka (TMT),"19.38279883,72.89702833"
Chintamani Hotel / Jain Mandir (TMT),"19.14717267,73.05130363"
Cidco Water Supply (TMT),"19.1273848231153,73.0347586979771"
Civil Court Naka (TMT),"19.1969860849045,72.9785394802377"
Cocacola Company (TMT),"19.28028962,72.92562606"
Cosmos Orchid Lily (TMT),"19.26911883,72.96854727"
Cosmos Paradise (TMT),"19.21683016,72.95870653"
Court Naka (TMT),"19.19694958,72.97726017"
Court Naka (Kanhaji Angre Chowk) (TMT),"19.1973645,72.9832183"
Dadlani Park Thane (TMT),"19.2224035681217,72.9959108567459"
Dadoji Kondadev Stadium (TMT),"19.19171102,72.98064242"
Dahisar Check Naka (E) (TMT),"19.257824,72.87187537"
Damayanti Society Thane (TMT),"19.26471351,72.97983358"
Dambar Plant (TMT),"19.07080695,73.02359435"
Datta Mandir (Civil Court) (TMT),"19.19724048,72.97579944"
Dattawadi Khare Gaon (TMT),"19.200513,72.99873233"
Debonair Society (TMT),"19.19686853,72.97110021"
Desai Bungalow (TMT),"19.2056048248607,72.9783408308073"
Devdaya Nagar (TMT),"19.21474465,72.95818135"
Dhanvantari Hospital (TMT),"19.17611401,72.95339848"
Dharamveer Nagar / Happy Valley Circle (TMT),"19.23663179,72.9707082"
Dharmacha Pada (Bramhand Bus Station) / धर्माचा पाडा (ब्रह्मांड बस स्थानक) (TMT),"19.24758873,72.98608174"
Dhirubhai Ambani Knowledge City (TMT),"19.1055596079926,73.0113008443686"
Dhokali Gaon Naka (TMT),"19.22725234,72.9804477"
Digha Village (TMT),"19.175220634342,72.9980182754631"
Diva Station (TMT),"19.18401273,73.04264278"
Diva-Vasai Railway Bridge (TMT),"19.34559576,72.89190531"
Dnyan Sarita (Thane) (TMT),"19.20268999,72.94936043"
Dnyan Sarita School (TMT),"19.17861337,72.95058342"
Dnyanasadhana College (Service Road) (TMT),"19.18314383,72.9658571"
Dnyanoday Vidyalaya (TMT),"19.20703941,72.9504633"
Dongari Pada (TMT),"19.25077307,72.97323841"
Dongarli (TMT),"19.25492457,73.06165692"
Dosti West County (TMT),"19.22459369,72.99452266"
Durgesh Park (TMT),"19.24435913,73.01740587"
Dwarka Hotel (TMT),"19.41349218,72.82601953"
Dyaneshwar Nagar (TMT),"19.20198017,72.95797079"
E.S.I.S Hospital (Mulund) (TMT),"19.17901393,72.94549778"
Edenwood (TMT),"19.22785257,72.96965182"
Eicher Dom (TMT),"19.2247323889307,72.9792594930164"
Emco Company (TMT),"19.20006736,72.94360991"
Endeavour Society (TMT),"19.17074296,72.96169577"
Everest World Park (TMT),"19.2320765076007,72.9847688970236"
Evershine City Gate (TMT),"19.39962118,72.84035057"
Exotica (TMT),"19.23162861,72.94806003"
Farm House Anjur Gaon (TMT),"19.22517272,73.02021724"
Father Wadi Naka (TMT),"19.40303907,72.84611732"
Fire Station (TMT),"19.40565241,72.82821088"
Flower Valley (TMT),"19.20776611,72.97244558"
Forest Avenue (TMT),"19.25438686,72.98180223"
Forest Office (TMT),"19.18890501,72.96470247"
Fountain Hotel / Varsova Bridge (TMT),"19.28477143,72.90388844"
Gaimukh (TMT),"19.28510023,72.93636285"
Gaimukh Jakat Naka (TMT),"19.28528807,72.93306339"
Gandhi Nagar (Thane) (TMT),"19.21830697,72.97029287"
Ganesh Nagar (TMT),"19.1801344932445,72.9962092132877"
Ganpati Pada (Vitava Naka) (TMT),"19.18494369,72.99312735"
Gaon Devi Chowk Nilaje (TMT),"19.1555693610944,73.0762937654631"
Gaondevi (Thane W) (TMT),"19.1887849,72.97467574"
Gaondevi Mandir (TMT),"19.18372645,72.97255216"
Gaondevi Mandir Thane (East) (TMT),"19.18457539,72.97225977"
Garden Estate (TMT),"19.23339501,72.96695638"
Gawand Baug (TMT),"19.221445,72.95894444"
Gawanpada (Mulund-E) (TMT),"19.1734902434227,72.9617708867795"
Ghansoli Naka (TMT),"19.1261858543622,73.0044305009262"
Ghansoli Station (TMT),"19.1164012055171,73.0076958553443"
Ghartan Pada (TMT),"19.2525372,72.86836283"
Ghodbunder Village (TMT),"19.28678032,72.89333654"
Ghodbunder Village Junction (TMT),"19.28209278,72.8918531"
Gholai Nagar (TMT),"19.20436162,73.01301764"
Glaxo Company (TMT),"19.21929727,72.96719223"
Global Hospital (TMT),"19.21213285,72.9941689"
Godavari Sadan (TMT),"19.20517954,72.98758159"
Gokhivare Talav Vasai (TMT),"19.40051677,72.84302472"
Gokul Nagar (TMT),"19.20946663,72.97703899"
Gokulanand Hotel (TMT),"19.24475663,72.86488176"
Golden Chemicals (TMT),"19.26213462,72.8737557"
Golden Chemicals / Thakur Mall (TMT),"19.26322391,72.87425637"
Gondhalewadi / Goodluck Company (TMT),"19.26360582,72.97778251"
Gothivali Village / Telephone Exchange (TMT),"19.1341794479208,73.0038017343328"
Grahak Seva Kendra Kalyan Phata (TMT),"19.29619608,73.06328917"
Green Fouvh (TMT),"19.3524272,72.89416271"
Gurukul Society (TMT),"19.19568202,72.96504538"
H.D.F.C Bank Siddhachal Society (TMT),"19.22316526,72.9645001"
Hanuman Complex (TMT),"19.24164951,73.01671386"
Hanuman Mandir (TMT),"19.2111645,72.97601403"
Hardas Nagar (TMT),"19.21220016,72.97643781"
Hari Niwas (TMT),"19.19171339,72.96875958"
Hari Niwas Circle (TMT),"19.19044367,72.96772049"
Hatkesh (TMT),"19.28018234,72.87650586"
Haware City (Borivade Gaon) (TMT),"19.26003108,72.95748073"
Hayko (TMT),"19.08953298,73.02735598"
Highland Park (TMT),"19.22238462,72.98225551"
Hill Garden (TMT),"19.23467774,72.96615154"
